,ID,BoroCode,Borough,CD,CDName,TaxBlock,TaxLot,FacName,FacAddress,ZipCode,FacType,FT_Decode,FT_Report,FT_Map,GroupType,GroupType_Decode,NewGroupType,NewGroupType_Decode,NewSgroup,NewSgroup_Decode,NewFacType,NewFT_Decode,Sgroup,Sgroup_Decode,Capacity,CapType,CT_Decode,CT_Report,Acreage,PKtoG8,G9toG12,AgencyOper,NewAgencyOper_Decode,AgencyOper_Report,AgencyOver,NewAgencyOver_Decode,AgencyOver_Report,CT2010,Tract2010,CouncilDis,SchoolDist,PolicePrct,HealthArea,BBL,XCoord,YCoord,SvcArea,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
20465,490285247,3,BK,318,BROOKLYN COMMUNITY DISTRICT 18,7810,37,"ADMIRABLE CHURCH, INC.",1910 Flatbush Ave,11210,4902,Food Pantry,Food Pantry,Food Pantry,10,RESIDENTIAL FACILITIES AND FOOD PROGRAMS FOR ADULTS AND FAMILIES,5,Housing & Social Service Facilities,5e,Drop-In Centers for the Homeless and Food Programs,5.00E+02,Food Pantry,102,Food Programs and Drop-In Centers,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,91,Not For Profit,NFP,99,NA,NA,738,738,45,22,63,8810,3078100037,1001533,166296,L,40.623143,-73.93767685,1,rooftop,1910,Flatbush Ave,Brooklyn,NY,Kings County,11210
18378,4100DC2207,1,MN,109,MANHATTAN COMMUNITY DISTRICT 9,1894,56,BANK STREET COLLEGE FAMILY CENTER,610 W 112 St,10025,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,31,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,199,199,7,3,26,2310,1018940056,993481,232773,L,40.80568717,-73.96657781,1,rooftop,610,W 112th St,New York,NY,New York County,10025
21046,620224MG0,3,BK,307,BROOKLYN COMMUNITY DISTRICT 7,662,1,"SIMS Metal Municipal Recycling, LLC",472 2 Ave,11232,6202,Recyclables Handling and Recovery Facility,Recyclables Handling and Recovery Facility,Recyclables Handling and Recovery,12,WASTE MANAGEMENT FACILITIES,6,Transportation & Waste Facilities,6c,Waste Handling and Processing Facilities,6c04,Recyclables Handling and Recovery Facility,121,Waste Management Facilities,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,90,Proprietary,Private,61,NYS Department of Environmental Conservation ,NYS DEC,18,18,38,15,72,4400,3006620001,981212,179804,R,40.656528,-74.007331,0.22,place,,,Brooklyn,NY,Kings County,11232
16052,3771430450,3,BK,314,BROOKLYN COMMUNITY DISTRICT 14,6757,52,"UCPA OF NEW YORK STATE, INC.",1917 Ave O,11230,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,4,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,546,546,48,22,70,7320,3067570052,996877,162848,R,40.61339655,-73.95508708,1,range_interpolation,1917,Ave O,Brooklyn,NY,Kings County,11230
9200,15000X110,2,BX,208,BRONX COMMUNITY DISTRICT 8,NA,NA,HENRY HUDSON PARKWAY,Harlem River to the Saw Mill River Pkwy,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,54.1,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,54.1,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,30,NYC Department of Parks & Recreation / Department of Transportation ,NYC DPR/DOT,NA,NA,NA,NA,NA,NA,NA,1009640,266056,L,40.84702,-73.928747,1,street_center,,Harlem River Dr,New York,NY,New York County,10034
20725,490385018,3,BK,309,BROOKLYN COMMUNITY DISTRICT 9,4803,76,CHURCH OF GOD OF PROPHECY CROWN HEIGHTS,467 Rutland Rd,11203,4903,Joint Soup Kitchen and Food Pantry,Joint Soup Kitchen and Food Pantry,Soup Kitchen/Food Pantry,10,RESIDENTIAL FACILITIES AND FOOD PROGRAMS FOR ADULTS AND FAMILIES,5,Housing & Social Service Facilities,5e,Drop-In Centers for the Homeless and Food Programs,5.00E+03,Joint Soup Kitchen and Food Pantry,102,Food Programs and Drop-In Centers,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,91,Not For Profit,NFP,99,NA,NA,810,810,40,17,71,4800,3048030076,999504,179722,L,40.65972529,-73.94520233,1,range_interpolation,467,Rutland Rd,Brooklyn,NY,Kings County,11203
12097,15000Q476,4,QN,407,QUEENS COMMUNITY DISTRICT 7,4237,1,COLLEGE POINT PARK,"130 St. bet., 23rd Ave. and 26 Ave.",NA,1512,"Building/Institution, Athletic/Recreation Facility  - NYC","Building/Institution, Athletic/Recreation Fac  - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2d,Recreation Centers ,2d01,"Building/Institution, Athletic/Recreation Facility  - NYC",22,Parklands,26.83,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,26.83,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4042370001,1029510,222620,L,40.809435,-73.939604,1,street_center,,E 130th St,New York,NY,New York County,10037
19740,4300032,2,BX,203,BRONX COMMUNITY DISTRICT 3,2931,73,FRANKLIN AVENUE,1363 Franklin Ave,10456,4310,State/City-Contracted Permanent Supportive SRO Housing,State/City-Contracted Permanent Supportive SRO,Permanent Supportive SRO,10,RESIDENTIAL FACILITIES AND FOOD PROGRAMS FOR ADULTS AND FAMILIES,5,Housing & Social Service Facilities,5d,Homeless Shelters and SROs,5d01,State/City-Contracted Permanent Supportive SRO Housing,101,Residential Facilities for Adults/Families,44,24,Supported SRO Units,Singles Units,NA,NA,NA,91,Not For Profit,NFP,19,NYC Department of Homeless Services ,NYC DHS,149,149,16,9,42,2600,2029310073,1011560,242890,R,40.83321916,-73.90083688,1,range_interpolation,1363,Franklin Ave,Bronx,NY,Bronx County,10456
18782,4100DC16724,1,MN,101,MANHATTAN COMMUNITY DISTRICT 1,69,18,"WEGWEISER & WEGWEISER, LLC",2 Gold St,10038,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,133,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,15.02,1502,1,2,1,7700,1000690018,982328,197005,L,40.70739651,-74.00705218,1,rooftop,2,Gold St,New York,NY,New York County,10038
10276,15000BZ103,3,BK,318,BROOKLYN COMMUNITY DISTRICT 18,NA,NA,GREENSTREET,Seaview Ave & E 91-92 Sts,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.064,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.064,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1013709,169222,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
5351,15000X059,2,BX,206,BRONX COMMUNITY DISTRICT 6,NA,NA,SERGEANT JOHNSON TRIANGLE,Dr Kazimiroff Blvd and Crotona Av at E Fordham Rd,NA,1513,"Triangle, Plaza, Mall, Lot, Strip - NYC","Triangle, Plaza, Mall, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c02,"Triangle, Plaza, Mall, Lot, Strip - NYC",22,Parklands,0.74,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.74,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,NA,1017092,251868,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
14269,3.48E+11,1,MN,110,MANHATTAN COMMUNITY DISTRICT 10,1831,40,CORNERSTONE CONTINUOUS CARE OP,214 W 116 St,10026,3412,Outpatient Clinic  - Chemical Dependency,Outp Clinic - Chem Depndncy,Outp Chemical  Depndncy Svc,5,CHEMICAL DEPENDENCY SERVICES,4,Hospitals & Health Service Facilities,4d,Addiction Service Facilities - Outpatient,4d08,Outpatient Clinic ,52,Chemical Dependency Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,90,Proprietary,Private,55,NYS Office of Alcoholism & Substance Abuse Services ,NYS OASAS,218,218,9,3,28,1900,1018310040,997131,231947,L,40.8034025,-73.95335119,1,rooftop,214,W 116th St,New York,NY,New York County,10026
3459,15000Q024,4,QN,407,QUEENS COMMUNITY DISTRICT 7,5509,430,KISSENA PARK,"Fresh Meadows La., Kissena Blvd., bet. Oak Ave., Underhill., and Booth Memorial Ave.",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,237.147,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,237.147,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4055090430,1037748,210305,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
20342,490282716,2,BX,202,BRONX COMMUNITY DISTRICT 2,2690,80,RESURRECTION AND LIFE C&S,870 E 163 St,10459,4902,Food Pantry,Food Pantry,Food Pantry,10,RESIDENTIAL FACILITIES AND FOOD PROGRAMS FOR ADULTS AND FAMILIES,5,Housing & Social Service Facilities,5e,Drop-In Centers for the Homeless and Food Programs,5.00E+02,Food Pantry,102,Food Programs and Drop-In Centers,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,91,Not For Profit,NFP,99,NA,NA,129.01,12901,17,8,41,3600,2026900080,1012122,238590,L,40.82151804,-73.89928454,1,rooftop,870,E 163rd St,Bronx,NY,Bronx County,10459
6934,15000X323,2,BX,206,BRONX COMMUNITY DISTRICT 6,3043,57,EL BATEY DE DONA PROVI GARDEN,E 178 St. bet. Bathgate and 3 Ave.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,0.13,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.13,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,2030430057,1012929,248181,L,40.847802,-73.895569,1,intersection,,3rd Ave,Bronx,NY,Bronx County,10457
7416,15000B255K,3,BK,307,BROOKLYN COMMUNITY DISTRICT 7,5266,27,SITTING AREA,N/B Prospect Exwy. bet. Seeley St. and Greenwood Ave.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,0.93,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.93,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,3052660027,990523,177372,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
15684,3770060475,4,QN,408,QUEENS COMMUNITY DISTRICT 8,6797,7502,HEARTSHARE HUMAN SERVICES OF NEW YORK,71-15 Park Ave,11365,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,6,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,1227.01,122701,24,25,107,2021,4067977502,1037292,205152,R,40.72988739,-73.80890149,1,rooftop,71-015,Park Ave,Fresh Meadows,NY,Queens County,11365
5320,15000X148K1,2,BX,209,BRONX COMMUNITY DISTRICT 9,3896,100,PARK,S/B Cross Bronx Exwy SR bet. Rosedale and Commonwealth Av,NA,1513,"Triangle, Plaza, Mall, Lot, Strip - NYC","Triangle, Plaza, Mall, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c02,"Triangle, Plaza, Mall, Lot, Strip - NYC",22,Parklands,0.059,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.059,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,2038960100,1020332,243708,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
8945,15000R027,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,7771,42,LONG POND PARK,"Page Ave., Hylan Blvd., and Amboy Rd.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,91.948,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,91.948,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5077710042,919950,126956,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
18592,4100DC23000,3,BK,312,BROOKLYN COMMUNITY DISTRICT 12,5504,37,TALMUD TORAH OHR MOSHE,1774 58 St,11204,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,40,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,244,244,44,20,66,8110,3055040037,988006,166334,L,40.62325489,-73.98641337,1,rooftop,1774,58th St,Brooklyn,NY,Kings County,11204
6290,15000Q459,4,QN,414,QUEENS COMMUNITY DISTRICT 14,15990,200,DUBOS POINT WILDLIFE SANCTUARY,"De Costa Ave. bet. Sommerwille Basin and B. 65 St.,Bayfield Ave. bet. B. 65 St. and B. 69",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,53.298,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,53.298,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4159900200,1042702,157870,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
21110,62032009693,1,MN,101,MANHATTAN COMMUNITY DISTRICT 1,151,20,"BROOKLYN PROCESSING II, INC",24 Thomas St,10007,6203,Scrap Metal Processor,Scrap Metal Processor,Scrap Metal Processor,12,WASTE MANAGEMENT FACILITIES,6,Transportation & Waste Facilities,6c,Waste Handling and Processing Facilities,6c05,Scrap Metal Processor,121,Waste Management Facilities,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,90,Proprietary,Private,36,NYC Department of Consumer Affairs ,NYC DCA,33,33,1,2,1,7700,1001510020,982545,200162,R,40.71621762,-74.00598292,1,range_interpolation,24,Thomas St,New York,NY,New York County,10007
14414,340000264CC,1,MN,105,MANHATTAN COMMUNITY DISTRICT 5,802,56,VOCATIONAL REHABILITATION,122 W 27 St,10001,3413,Vocational Rehabilitation Service - Chemical Dependency,Vocational Rehab Svc - Chem Depndncy,Outp Chemical  Depndncy Svc,5,CHEMICAL DEPENDENCY SERVICES,4,Hospitals & Health Service Facilities,4d,Addiction Service Facilities - Outpatient,4d09,Vocational Rehabilitation Service,52,Chemical Dependency Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,95,95,3,2,13,5200,1008020056,986380,210970,L,40.74588662,-73.99232771,1,rooftop,122,W 27th St,New York,NY,New York County,10001
5344,15000Q035,4,QN,403,QUEENS COMMUNITY DISTRICT 3,NA,NA,MALL THIRTY FOUR XXXIV,"34 Ave. bet. 79 St. and 92 St., Junction Blvd. and 11 St.",NA,1513,"Triangle, Plaza, Mall, Lot, Strip - NYC","Triangle, Plaza, Mall, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c02,"Triangle, Plaza, Mall, Lot, Strip - NYC",22,Parklands,0.55,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.55,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,NA,1017774,214140,L,40.72340838,-73.98546038,1,range_interpolation,34,Ave A,New York,NY,New York County,10009
19633,4527L01,3,BK,307,BROOKLYN COMMUNITY DISTRICT 7,746,39,SUNSET PARK NEIGHBORHOOD SENIOR CENTER,4520 4 Ave,11220,4501,Senior Center,Senior Center,Senior Ctr,9,FACILITIES FOR SENIORS,5,Housing & Social Service Facilities,5c,Senior Centers and Assisted Living Facilities,5c01,Senior Center,91,Senior Centers,2400,9,Average Monthly Meals Served,Av. Meals/Month,NA,NA,NA,91,Not For Profit,NFP,21,NYC Department for the Aging ,NYC DFTA,80,80,38,15,72,6600,3007460039,981373,175807,L,40.634873,-74.016905,0.22,place,,,Brooklyn,NY,Kings County,11220
15656,3764510455,2,BX,210,BRONX COMMUNITY DISTRICT 10,5637,85,"AABR, INC.",174 Rochelle St,10464,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,8,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,516,516,13,11,45,720,2056370085,1044586,245019,R,40.8390383,-73.78201326,1,rooftop,174,Rochelle St,Bronx,NY,Bronx County,10464
1572,1.03E+13,3,BK,312,BROOKLYN COMMUNITY DISTRICT 12,5492,1,PS 231,5601 16 Ave,11204,1007,Special School - Public,Special School - Public,Special School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a07,Public Special School,11,Public Elementary and Secondary Schools,344,1,Day Care or Head Start Center Capacity,Children,NA,323,21,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,470,470,44,20,66,7110,3054920001,987233,167510,L,40.61016313,-73.98445627,1,range_interpolation,5601-016,Ave O,Brooklyn,NY,Kings County,11204
18224,4100DC65,3,BK,314,BROOKLYN COMMUNITY DISTRICT 14,7552,100,"BROOKLYN COLLEGE CHILD CARE SERVICES, INC.",2900 Bedford Ave,11210,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,28,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,772,772,45,22,70,7220,3075520100,996856,169082,L,40.63163713,-73.95286838,1,rooftop,2900,Bedford Ave,Brooklyn,NY,Kings County,11210
13459,327000006H4404,2,BX,212,BRONX COMMUNITY DISTRICT 12,5065,75,MONTEFIORE WAKEFIELD ALCOHOLISM CLINIC,4401 Bronx Blvd,10470,3203,Hospital Extension Clinic,Hospital Extension Clinic,Hospital Extension Clinic,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a05,Hospital Extension Clinic,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,54,NYS Department of Health ,NYS DOH,414,414,11,11,47,510,2050650075,1023603,267407,L,40.90028267,-73.85769453,1,rooftop,4401,Bronx Blvd,Bronx,NY,Bronx County,10470
16913,4100DC25859,2,BX,209,BRONX COMMUNITY DISTRICT 9,3914,22,CARDINAL MCCLOSKEY COMMUNITY SERVICES,1750 Mansion St,10460,4101,Group Day Care - Public,Group Day Care - Public,Group Day Care - Public,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b01,Group Day Care - Public,82,Daycare and Headstart Facilities,120,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,91,Not For Profit,NFP,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,218,218,18,12,43,1310,2039140022,1020385,244543,L,40.837902,-73.86944631,1,rooftop,1750,Mansion St,Bronx,NY,Bronx County,10460
15582,3760940448,4,QN,413,QUEENS COMMUNITY DISTRICT 13,8552,10,QUEENS CENTERS FOR PROGRESS,269-18 77. Ave,11040,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,8,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,1551.02,155102,23,26,105,2170,4085520010,1065955,213343,R,40.75191043,-73.70516138,1,rooftop,269-018,77th Ave,New Hyde Park,NY,Nassau County,11040
2408,1.13E+13,3,BK,315,BROOKLYN COMMUNITY DISTRICT 15,6685,34,BET YAKOV ATERET TORAH HIGH SCHOOL,2166 Coney Island Ave,11223,1105,Senior High School - Private/Parochial,Senior High School - Private/Parochial,Senior High School - Private,1,SCHOOLS,1,Educational Facilities,1c,Private/Parochial Elementary and Secondary Schools,1c05,Private/Parochial Senior High School,12,Private/Parochial Elementary and Secondary Schools,193,1,Day Care or Head Start Center Capacity,Children,NA,0,193,90,Proprietary,Private,50,NYS Education Department / Board of Regents ,NYSED,416,416,48,21,61,8510,3066850034,994748,159352,R,40.60413647,-73.96222387,1,rooftop,2166,Coney Island Ave,Brooklyn,NY,Kings County,11223
4258,15000M037,1,MN,110,MANHATTAN COMMUNITY DISTRICT 10,2106,4,HIGHBRIDGE PARK,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,130.1,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,130.1,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,1021060004,1001158,242320,R,40.829889,-73.938997,1,street_center,,W 155th St,New York,NY,New York County,10032
9738,15000XZ244,2,BX,210,BRONX COMMUNITY DISTRICT 10,NA,NA,GREENSTREET,Co-Op City Blvd and Peartree Ave,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.04,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.04,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1033283,259417,L,40.872225,-73.824475,1,street_center,,Co Op City Blvd,Bronx,NY,Bronx County,10475
10912,15000BZ135,3,BK,309,BROOKLYN COMMUNITY DISTRICT 9,NA,NA,GREENSTREET,Washington Ave & Empire Blvd & Sterling St,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.07,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.07,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,995130,180862,L,40.842988,-73.900333,1,street_center,,Washington Ave,Bronx,NY,Bronx County,10457
2630,1.20E+13,2,BX,201,BRONX COMMUNITY DISTRICT 1,2346,29,HOSTOS COMM COLLEGE (CUNY),475 Grand Concourse,10451,1202,CUNY - The City University of New York,Public College - CUNY,Public College - CUNY,1,SCHOOLS,1,Educational Facilities,1d,Colleges and Other Post-Secondary Institutions,1d02,CUNY - The City University of New York,13,Colleges and Other Post-Secondary Institutions,6985,10,"Fall Enrollment, Full and Part-Time Students",Enrollment,NA,NA,NA,2,City University of New York ,CUNY,50,NYS Education Department / Board of Regents ,NYSED,63,63,17,7,40,3800,2023460029,1004165,237362,R,40.81805247,-73.92780681,1,rooftop,475,Grand Concourse,Bronx,NY,Bronx County,10451
